id name code hours/day hours/week

1 Konitopoylos 119 6 18
2 Garane 105 4 19
3 Tsida 105 4 17
4 Sdrakas 102 4 18
5 Thiakou 109 6 19
6 Paschali 110 4 16
7 Zikos 115 4 15
8 Farkona 106 4 17
9 Katrouros 114 3 14
10 Stavropodis 100 5 16
11 Katos 111 4 16
12 Antoniou 101 4 18
13 Mosxou 103 5 15
14 Bourvaris 106 5 12
15 Zisimas 112 2 9
16 Mitsias 106 4 10 
17 Ktistopoulos 106 4 18
18 Aggelis 107 4 10
19 Kokkini 117 4 15
20 Boufounos 108 6 15
21 Charalabakos 102 4 12
22 Kouzoubasi 109 6 10
23 Koilaras 110 4 7
24 Boutaras 113 4 10
25 Velanidis 100 5 13
26 Panos 111 5 7
27 Patatopa 101 4 16
28 Patousis 101 4 18
29 Vrakopoulos 102 4 10
30 Kapsopolis 103 4 18
31 Varetos 104 4 18
32 Pterodaxtulos 116 4 11
33 Atsidas 104 6 10
34 Aytias 118 2 6
35 Fysikouras 107 4 14
